"Title","Description","Series","M","TestStatistic","EffectSize","NullProportion","InformativeCovariate","RDataClass","DispatchClass","BiocVersion","Maintainer","Genome","SourceType","SourceUrl","SourceVersion","SourceFile","Species","TaxonomyId","Coordinate_1_based","DataProvider","RDataPath"
"null-benchmark-chisq4","100 replicates of null simulations with chi-squared (4 degrees of freedom) distributed test statistics used in Korthauer, Kimes et al. (2019).","Null",20000,"ChiSq4","none",1,"none","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/null-benchmark-chisq4.rds"
"null-benchmark-gaussian","100 replicates of null simulations with standard Gaussian distributed test statistics used in Korthauer, Kimes et al. (2019).","Null",20000,"Gaussian","none",1,"none","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/null-benchmark-gaussian.rds"
"null-benchmark-t11","100 replicates of null simulations with t (11 degrees of freedom) distributed test statistics used in Korthauer, Kimes et al. (2019).","Null",20000,"t11","none",1,"none","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/null-benchmark-t11.rds"
"null-benchmark-t5","100 replicates of null simulations with t (5 degrees of freedom) distributed test statistics used in Korthauer, Kimes et al. (2019).","Null",20000,"t5","none",1,"none","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/null-benchmark-t5.rds"
"informative-cosine-benchmark-chisq4","100 replicates of simulation with chi-squared (4 degrees of freedom) distributed test statistics with 'cosine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","Informative_Cosine",20000,"ChiSq4","N(15, 1)",0.9,"Cosine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/informative-cosine-benchmark-chisq4.rds"
"informative-cosine-benchmark-gaussian","100 replicates of simulation with standard Gaussian distributed test statistics with 'cosine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","Informative_Cosine",20000,"Gaussian","N(3, 1)",0.9,"Cosine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/informative-cosine-benchmark-gaussian.rds"
"informative-cosine-benchmark-t11","100 replicates of simulation with t (11 degrees of freedom) distributed test statistics with 'cosine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","Informative_Cosine",20000,"t11","N(3, 1)",0.9,"Cosine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/informative-cosine-benchmark-t11.rds"
"informative-cosine-benchmark-t5","100 replicates of simulation with t (5 degrees of freedom) distributed test statistics with 'cosine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","Informative_Cosine",20000,"t5","N(3, 1)",0.9,"Cosine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/informative-cosine-benchmark-t5.rds"
"informative-cubic-benchmark-chisq4","100 replicates of simulation with chi-squared (4 degrees of freedom) distributed test statistics with 'cubic' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","Informative_Cubic",20000,"ChiSq4","N(15, 1)",0.9,"Cubic","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/informative-cubic-benchmark-chisq4.rds"
"informative-cubic-benchmark-gaussian","100 replicates of simulation with standard Gaussian distributed test statistics with 'cubic' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","Informative_Cubic",20000,"Gaussian","N(3, 1)",0.9,"Cubic","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/informative-cubic-benchmark-gaussian.rds"
